BLOCKCHAIN,TOKEN_NAME,HOUR,PRICE,INS_TIME
factom,dmx,1970-01-01T00:00:00Z,0,2024-01-10T07:44:43.225Z
findora,futureswap-finance,1970-01-01T00:00:00Z,0,2024-01-10T07:44:43.225Z
findora,findora,2024-01-02T21:00:00Z,0.001822995515,2024-01-10T07:44:43.225Z
findora,findora,2024-01-02T22:00:00Z,0.001801674419,2024-01-10T07:44:43.225Z
findora,findora,2024-01-02T23:00:00Z,0.001807474111,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T00:00:00Z,0.001757781081,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T01:00:00Z,0.00175911648,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T02:00:00Z,0.001731363784,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T03:00:00Z,0.001730047832,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T04:00:00Z,0.001729118431,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T05:00:00Z,0.001723201265,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T06:00:00Z,0.001773179227,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T07:00:00Z,0.001779581596,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T08:00:00Z,0.001760691035,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T09:00:00Z,0.001777831974,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T10:00:00Z,0.001780429994,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T11:00:00Z,0.001811465103,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T12:00:00Z,0.001810993366,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T13:00:00Z,0.001725938036,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T14:00:00Z,0.001716321237,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T15:00:00Z,0.001740639206,2024-01-10T07:44:43.225Z
findora,findora,2024-01-03T16:00:00Z,0.001746187937,2024-01-10T07:44:43.225Z
